id,category,question,answer,source
1,  请假,   怎么请病假？,	学生请病假需通过“今日校园”APP提交申请，填写请假销假备案单并附医院证明。请假3天以内由辅导员、副班书记签字；4天至两周由辅导员、书记或院长（系主任）签字。	,安徽交通职业技术学院学生请假操作手册
2	请假,	请事假需要什么流程？	,学生请事假需通过“今日校园”APP提交申请，填写请假销假备案单并附相关证明材料。请假3天以内由辅导员、副班书记签字；4天至两周由辅导员、书记或院长签字。	,安徽交通职业技术学院学生请假操作手册
3	请假,	请假3天以上需要什么材料？	,请假3天以上需提交书面申请，填写请假销假备案单并附相关证明材料。请假结束后需及时销假。	,安徽交通职业技术学院学生请假操作手册
4	奖学金,	国家奖学金需要什么条件？	,国家奖学金奖励标准为每人每年8000元。申请者需为二年级以上全日制高职专科在校生，学习成绩排名与综合考评成绩排名均位于前10%（含10%）。	,安徽交通职业技术学院国家奖学金评审办法
5	奖学金	,国家励志奖学金需要什么条件？	,国家励志奖学金奖励标准为每人每年5000元。申请者需为二年级以上家庭经济困难学生，成绩或综合考评排名前10%，且必须课程没有不及格科目。	,安徽交通职业技术学院国家励志奖学金评审办法
6	奖学金	,国家奖学金和国家励志奖学金能同时拿吗？	,不能。同一学年内，获得国家奖学金的家庭经济困难学生可以同时申请并获得国家助学金，但不能同时获得国家励志奖学金。	,安徽交通职业技术学院国家励志奖学金评审办法
7	宿舍	,宿舍灯坏了怎么报修？	,宿舍内设施自然损坏应及时报告物业，由物业宿管人员联系维修部门维修。	,安徽交通职业技术学院学生宿舍管理规定
8	宿舍	,宿舍可以养宠物吗？	,严禁在学生宿舍内饲养各种宠物，包括猫、狗、兔、鸟及爬行动物等。	,安徽交通职业技术学院学生宿舍管理规定
9	宿舍	,宿舍门禁时间是几点？	,学生宿舍实行门禁管理，每日23:00至次日06:00为门禁时间。	,安徽交通职业技术学院学生宿舍管理规定
10	一卡通	,一卡通丢了怎么办？	,校园卡丢失应及时挂失，本人持身份证到信息管理中心办理补卡手续，并承担补卡费用。	,安徽交通职业技术学院一卡通管理办法
11	一卡通	,一卡通可以借给别人用吗？	,不可。校园卡仅限本人使用，不得转借他人。	,安徽交通职业技术学院一卡通管理办法
12	图书馆	,图书馆借书期限是多久？	,学生凭校园卡借阅图书，每人限借5册，借阅期限为30天，可续借一次（15天）。	,安徽交通职业技术学院图书馆借阅规则
13	图书馆	,图书馆借书过期怎么处理？	,逾期未还按每册每天0.1元收取滞纳金。	,安徽交通职业技术学院图书馆借阅规则
14	宿舍	,宿舍限电规定是什么？	,宿舍严禁使用电炉、热得快、电热毯、电饭煲、电吹风（功率超过800W）等大功率违禁电器。	,安徽交通职业技术学院学生宿舍管理规定
15	宿舍	,宿舍晚归怎么办？	,晚归学生需在宿管值班室如实登记晚归原因、时间等信息，并向辅导员报备。	,安徽交通职业技术学院学生宿舍管理规定
16	选课	,选课退课怎么操作？	,学生可在补选退选期间内退选课程，逾期不再受理退课申请。	,安徽交通职业技术学院教务处
17	请假	,请假的审批权限是怎样的？	,请假3天以内由辅导员、副班书记签字；4天至两周由辅导员、书记或院长签字。	,安徽交通职业技术学院学生请假操作手册
18	一卡通	,校园卡有效期是多久？	,校园卡有效期按学制期限设定，超期后需办理延期手续。	,安徽交通职业技术学院一卡通管理办法
19	宿舍	,宿舍可以带电脑吗？	,可以，但需遵守宿舍管理规定，不得影响他人休息。	,安徽交通职业技术学院学生宿舍管理规定
20	图书馆	,图书馆借书丢了怎么办？	,借阅图书丢失应立即到图书馆办理赔偿手续，可购买同版本正版图书赔偿，或按图书原价的2-5倍赔偿。	,安徽交通职业技术学院图书馆借阅规则
21	选课	,选课退课需要什么条件？	,学生可在规定补选退选期间内进行退选，逾期不再受理。需按照教务系统要求填写退课申请表。	,安徽交通职业技术学院教务处
22	门禁	,宿舍门禁时间是几点？	,每日23:00至次日06:00为门禁时间。门禁期间学生不得随意进出。	,安徽交通职业技术学院学生宿舍管理规定
23	晚归	,晚归怎么办？	,晚归学生需在宿管值班室如实登记晚归原因、时间等信息，并向辅导员报备。	,安徽交通职业技术学院学生宿舍管理规定
24	宿舍	,宿舍大门口有什么规定？	,校园大门设有门禁系统，学生凭校园卡刷卡进出。外来人员需登记身份信息。	,安徽交通职业技术学院学生宿舍管理规定
25	水电	,宿舍用水用电怎么交费？	,通过“今日校园”APP进行水电费充值。	,安徽交通职业技术学院后勤处
26	水电	,宿舍限电规定是什么？	,严禁使用电炉、热得快、电热毯等大功率电器，功率超过800W将自动断电。	,安徽交通职业技术学院学生宿舍管理规定
27	图书馆	,图书馆借阅规则有哪些？	,每人限借5册，借阅期限30天，可续借一次（15天）。逾期收取滞纳金。	,安徽交通职业技术学院图书馆借阅规则
28	图书馆	,图书馆闭馆时间是几点？	,周一至周日8:00-21:30（节假日另行通知）。	,安徽交通职业技术学院图书馆借阅规则
29	图书馆	,借书弄丢了怎么办？	,立即到图书馆办理赔偿，可购买同版本图书赔偿，或按原价2-5倍赔偿。	,安徽交通职业技术学院图书馆借阅规则
30	宿舍	,宿舍门禁卡丢了怎么办？	,丢失后应按一卡通补办流程办理，补办前可向辅导员或宿管说明情况。	,安徽交通职业技术学院一卡通管理办法
31	请假	,请假需要辅导员签字吗？	,是的。请假3天以内需辅导员签字，超过3天需更高一级领导签字。	,安徽交通职业技术学院学生请假操作手册
32	奖学金	,奖学金每年评几次？	,国家奖学金和国家励志奖学金每学年评审一次，一般在三月份和九月份完成。	,安徽交通职业技术学院国家奖学金评审办法
33	宿舍	,宿舍能使用电磁炉吗？	,不能。属于大功率违禁电器，使用将被自动断电并可能受到处罚。	,安徽交通职业技术学院学生宿舍管理规定
34	一卡通	,一卡通可以用于食堂打饭吗？	,可以。一卡通是校园内消费、借书、门禁等的主要电子凭证。	,安徽交通职业技术学院一卡通管理办法
35	选课	,选课冲突怎么办？	,可在教务系统中查看课程表，合理安排时间。如确有冲突可申请调课或退选。	,安徽交通职业技术学院教务处
36	宿舍	,宿舍能使用洗衣机吗？	,部分宿舍楼配备公共洗衣机，需按规定投币或扫码使用。	,安徽交通职业技术学院学生宿舍管理规定
37	图书馆	,如何续借图书？	,可通过图书馆系统或APP在线续借一次，最长15天。	,安徽交通职业技术学院图书馆借阅规则
38	请假	,事假需要什么证明材料？	,需提交书面申请及相关证明材料（如火车票、医院证明等）。	,安徽交通职业技术学院学生请假操作手册
39	奖学金	,奖学金评定看哪些方面？	,主要看学习成绩、综合素质、家庭经济情况（励志奖学金）等。	,安徽交通职业技术学院奖学金评定办法
40	宿舍	,宿舍违纪会怎样？	,根据情节轻重，给予警告、通报批评、取消评优资格等处分，严重者可能被通报至家长。	,安徽交通职业技术学院学生宿舍管理规定
